title,Release_date,Overview,Adult,Vote_count,Vote_average,Popularity,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,vote_average,vote_count
Harry Potter and the Chamber of Secrets,2002-11-13,"Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.",False,11040,7.7,39.232,100000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",,672,"[{""id"": 391, ""name"": ""flying car""}, {""id"": 616, ""name"": ""witch""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2630, ""name"": ""cutting the cord""}, {""id"": 3650, ""name"": ""child hero""}, {""id"": 3872, ""name"": ""broom""}, {""id"": 3873, ""name"": ""sorcerer's apprentice""}, {""id"": 3884, ""name"": ""school of witchcraft""}, {""id"": 3891, ""name"": ""giant snake""}, {""id"": 4252, ""name"": ""black magic""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",en,Harry Potter and the Chamber of Secrets,"Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.",132.397737,"[{""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""Heyday films"", ""id"": 437}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-11-13,876688482,161.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Hogwarts is back in session.,7.4,5815
The Lord of the Rings: The Two Towers,2002-12-18,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",False,11844,8.2,30.798000000000002,79000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",http://www.lordoftherings.net/,121,"[{""id"": 603, ""name"": ""elves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 609, ""name"": ""middle-earth (tolkien)""}, {""id"": 611, ""name"": ""hobbit""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1653, ""name"": ""explosive""}, {""id"": 1964, ""name"": ""cave""}, {""id"": 4268, ""name"": ""fort""}, {""id"": 6092, ""name"": ""army""}, {""id"": 10364, ""name"": ""mission""}, {""id"": 10563, ""name"": ""attack""}, {""id"": 33788, ""name"": ""guide""}, {""id"": 177912, ""name"": ""wizard""}, {""id"": 189093, ""name"": ""ring""}, {""id"": 234213, ""name"": ""sword and sorcery""}]",en,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",106.914973,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""The Saul Zaentz Company"", ""id"": 5237}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-12-18,926287400,179.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A New Power Is Rising.,8.0,7487
Men in Black II,2002-07-03,"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.",False,5354,6.2,28.122,140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.sonypictures.com/homevideo/meninblackii/,608,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 1381, ""name"": ""sun glasses""}, {""id"": 1568, ""name"": ""undercover""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 2173, ""name"": ""illegal immigration""}, {""id"": 2428, ""name"": ""deportation""}, {""id"": 2547, ""name"": ""new identity""}, {""id"": 3243, ""name"": ""flying saucer""}, {""id"": 3760, ""name"": ""light""}, {""id"": 6112, ""name"": ""firearm""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 174915, ""name"": ""fictional government agency""}]",en,Men in Black II,"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.",91.332849,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Parkes+MacDonald Image Nation"", ""id"": 49325}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-07-03,441818803,88.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Same Planet. New Scum.,6.0,3114
Catch Me If You Can,2002-12-25,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",False,6759,7.9,26.155,52000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",https://www.facebook.com/CatchMeIfYouCanMovie,640,"[{""id"": 3202, ""name"": ""con man""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 18525, ""name"": ""fbi agent""}, {""id"": 172889, ""name"": ""overhead camera shot""}, {""id"": 177465, ""name"": ""attempted jailbreak""}, {""id"": 177473, ""name"": ""engagement party""}, {""id"": 177482, ""name"": ""mislaid trust""}, {""id"": 214810, ""name"": ""bank fraud""}, {""id"": 231069, ""name"": ""inspired by a true story""}]",en,Catch Me If You Can,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",73.94404899999999,"[{""name"": ""Kemp Company"", ""id"": 367}, {""name"": ""Splendid Pictures"", ""id"": 368}, {""name"": ""Parkes/MacDonald Productions"", ""id"": 11084}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-12-25,352114312,141.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,The true story of a real fake.,7.7,3795
Spider-Man,2002-05-01,"After being bitten by a genetically altered spider, nerdy high school student Peter Parker is endowed with amazing powers.",False,9217,7.0,25.488000000000003,139000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",http://www.sonypictures.com/movies/spider-man/,557,"[{""id"": 1014, ""name"": ""loss of lover""}, {""id"": 3986, ""name"": ""spider""}, {""id"": 4543, ""name"": ""thanksgiving""}, {""id"": 5812, ""name"": ""bad boss""}, {""id"": 6062, ""name"": ""hostility""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 11794, ""name"": ""pokies""}, {""id"": 156075, ""name"": ""evil""}, {""id"": 169887, ""name"": ""reference to superman""}, {""id"": 189094, ""name"": ""goblin""}]",en,Spider-Man,"After being bitten by a genetically altered spider, nerdy high school student Peter Parker is endowed with amazing powers.",82.502566,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-05-01,821708551,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,With great power comes great responsibility.,6.8,5265
Ice Age,2002-03-10,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",False,7073,7.2,23.456,59000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.iceagemovies.com/films/ice-age,425,"[{""id"": 311, ""name"": ""human evolution""}, {""id"": 970, ""name"": ""parents kids relationship""}, {""id"": 990, ""name"": ""squirrel""}, {""id"": 1445, ""name"": ""ice""}, {""id"": 1452, ""name"": ""loss of child""}, {""id"": 2078, ""name"": ""mammoth""}, {""id"": 2079, ""name"": ""sloth""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 4428, ""name"": ""stone age""}, {""id"": 10506, ""name"": ""prehistoric""}, {""id"": 158017, ""name"": ""saber-toothed tiger""}, {""id"": 159955, ""name"": ""cavemen""}, {""id"": 166958, ""name"": ""prehistoric creature""}, {""id"": 178645, ""name"": ""prehistoric adventure""}, {""id"": 183414, ""name"": ""prehistoric times""}, {""id"": 192918, ""name"": ""prehistoric man""}]",en,Ice Age,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",99.561972,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Blue Sky Studios"", ""id"": 9383}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-03-10,383257136,81.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,They came. They thawed. They conquered.,7.1,3857
The Scorpion King,2002-04-18,"In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world.",False,1522,5.4,23.383000000000003,60000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.the-scorpion-king.com/,9334,"[{""id"": 1160, ""name"": ""egypt""}, {""id"": 1530, ""name"": ""temple""}]",en,The Scorpion King,"In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world.",37.537093,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Kalima Productions GmbH & Co. KG"", ""id"": 7385}, {""name"": ""World Wrestling Entertainment (WWE)"", ""id"": 7588}, {""name"": ""Alphaville Films"", ""id"": 11462}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""BE"", ""name"": ""Belgium""}]",2002-04-16,165333180,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",Released,Warrior. Legend. King.,5.3,779
The Bourne Identity,2002-06-14,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?",False,5154,7.4,20.149,60000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.universalstudiosentertainment.com/the-bourne-identity/,2501,"[{""id"": 90, ""name"": ""paris""}, {""id"": 107, ""name"": ""barcelona spain""}, {""id"": 782, ""name"": ""assassin""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 1453, ""name"": ""amnesia""}, {""id"": 1589, ""name"": ""sniper""}, {""id"": 3022, ""name"": ""passport""}, {""id"": 3045, ""name"": ""mission of murder""}, {""id"": 4663, ""name"": ""lovers""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 14967, ""name"": ""foot chase""}, {""id"": 15156, ""name"": ""cell phone""}, {""id"": 15483, ""name"": ""car chase""}, {""id"": 33507, ""name"": ""multiple identities""}, {""id"": 159433, ""name"": ""surveillance camera""}, {""id"": 164713, ""name"": ""hamburg germany""}, {""id"": 174617, ""name"": ""fishing boat""}, {""id"": 185702, ""name"": ""langley virginia""}, {""id"": 187023, ""name"": ""safe deposit box""}, {""id"": 187844, ""name"": ""flashback""}, {""id"": 188955, ""name"": ""hand to hand combat""}]",en,The Bourne Identity,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy – but who does he work for?",86.47681700000001,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Kennedy/Marshall Company, The"", ""id"": 7383}, {""name"": ""Hypnotic"", ""id"": 7384}, {""name"": ""Kalima Productions GmbH & Co. KG"", ""id"": 7385}, {""name"": ""Stillking Films"", ""id"": 11345}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}]",2002-06-14,214034224,119.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""nl"", ""name"": ""Nederlands""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,He was the perfect weapon until he became the target.,7.3,3583
Minority Report,2002-06-20,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",False,4338,7.3,17.682000000000002,102000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}]",,180,"[{""id"": 476, ""name"": ""self-fulfilling prophecy""}, {""id"": 521, ""name"": ""washington d.c.""}, {""id"": 2620, ""name"": ""evidence""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3249, ""name"": ""hologram""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 207268, ""name"": ""neo-noir""}, {""id"": 236189, ""name"": ""future noir""}]",en,Minority Report,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",65.948959,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Cruise/Wagner Productions"", ""id"": 44}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Blue Tulip Productions"", ""id"": 766}, {""name"": ""Ronald Shusett/Gary Goldman"", ""id"": 26265}, {""name"": ""Digital Image Associates"", ""id"": 76068}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-06-20,358372926,145.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}]",Released,The system is perfect until it comes after you.,7.1,2608
Die Another Day,2002-11-17,"Bond takes on a North Korean leader who undergoes DNA replacement procedures that allow him to assume different identities. American agent, Jinx Johnson assists Bond in his attempt to thwart the villain's plans to exploit a satellite that is powered by solar energy.",False,1765,5.9,17.583,140000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.mgm.com/view/movie/232/Die-Another-Day/,36669,"[{""id"": 3290, ""name"": ""laser""}, {""id"": 156095, ""name"": ""british secret service""}, {""id"": 208633, ""name"": ""secret service agent""}, {""id"": 234365, ""name"": ""space based weapon""}]",en,Die Another Day,"Bond takes on a North Korean leader who undergoes DNA replacement procedures that allow him to assume different identities. American agent, Jinx Johnson assists Bond in his attempt to thwart the villain's plans to exploit a satellite that is powered by solar energy.",54.159392000000004,"[{""name"": ""Eon Productions"", ""id"": 7576}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-11-17,431971116,133.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}, {""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""is"", ""name"": ""\u00cdslenska""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,He’s never been cooler.,5.8,1092
